Name,Suburb,city,Star Rating,Overall Guest rating,reviewName,count_rev
Bundanoon Lodge,,Bundanoon,4,9.5,bundanoon-lodge,272
Jervis Bay Motel,,Huskisson,4,8.1,jervis-bay-motel,1577
Bundanoon Lodge,,Bundanoon,4,9.5,bundanoon-lodge,272
Veriu Central,Sydney CBD,Sydney,4.5,7.9,sydney-central-on-wentworth,2504
Cottages On Mount View,,Mount View,4,9.2,cottages-on-mount-view,108
Maya Sanctuary,,Little Hartley,4.5,9.4,secret-valley-escape,90
The Bronte Boutique Hotel,,Morpeth,4,9.3,the-bronte-guesthouse,361
Mercure Resort Hunter Valley Gardens,,Pokolbin,4,7.5,grand-mercure-the-vintage-hunter-valley,1327
Vibe Hotel North Sydney,North Sydney,Sydney,4.5,8.5,vibe-north-sydney-north-sydney,1752
Travelodge Hotel Sydney Airport,Mascot,Sydney,4,8.4,travelodge-sydney-airport,4064
Travelodge Hotel Sydney Wynyard,Sydney CBD,Sydney,4,8.2,travelodge-wynyard,4006
Palm Beach Bed & Breakfast,,Palm Beach,4,9.4,palm-beach-bed-amp-breakfast-palm-beach,324
"PARKROYAL Darling Harbour, Sydney",Sydney CBD,Sydney,4.5,8.4,park-royal-darling-harbour,1994
Hotel Etico at Mount Victoria Manor,,Mount Victoria,3.5,8.7,blue-mountains-manor-house,299
Mercure Sydney Rouse Hill,,Kellyville,4,8.8,mercure-sydney-rouse-hill,992
Echo Point Discovery Motel,,Katoomba,4,7.7,echo-point-motor-inn,2034
Metro Hotel Marlow Sydney Central,Sydney CBD,Sydney,4,7.7,metro-sydney-central,1206
Best Western Plus Hovell Tree Inn,,Albury,4,8.5,best-western-plus-albury-hovel-tree,2047
Copacabana Shores,,Copacabana,4.5,7.5,copacabana-shores,617
Winning Post Motor Inn,,Mudgee,4,8.4,winning-post-motor-inn,1075
Leisure Inn Pokolbin Hill,,Pokolbin,4,7.7,leisure-inn-pokolbin-hill,2294
The Playhouse Hotel,,Barraba,4,9.2,the-playhouse,137
Great Southern Hotel Sydney,Sydney CBD,Sydney,4,8.2,great-southern,5231
Central Studio Hotel Sydney,Sydney CBD,Sydney,4,8.3,rendezvous-sydney-central,1163
Beachfront by Gateway Lifestyle Holiday Parks,,Hallidays Point,4,7.5,beachfront-holiday-resort,303
Oaks Nelson Bay Lure Suites,,Nelson Bay,4,7.8,oaks-lure,2231
Royal Motel Tenterfield,,Tenterfield,4,9.0,royal-motel-tenterfield,417
Grand Mercure The Hills Lodge,,Castle Hill,4,8.9,grand-the-hills-lodge,600
The Sebel Harbourside Kiama,,Kiama,4,8.0,sebel-harbourside-kiama,1026
NRMA Sydney Lakeside Holiday Park,,Narrabeen,4.5,7.9,sydney-lakeside-holiday-park,478
Rydges Sydney Harbour,Sydney CBD,Sydney,4,8.1,old-sydney-holiday-inn,3865
Waterfall Springs Retreat & Wildlife Sanctuary,,Kulnura,4,9.6,waterfall-springs-retreat,51
Ramada Resort by Wyndham Shoal Bay,,Shoal Bay,4,7.9,shoal-bay-resort-spa,2727
The Grace Hotel,Sydney CBD,Sydney,4,8.6,the-grace,7205
Rydges Mount Panorama Bathurst,,Bathurst,4,8.4,rydges-mount-panorama-bathurst,1864
Oaks Port Stephens Pacific Blue Resort,,Salamander Bay,4,8.0,oaks-pacific-blue-resort,3781
Miramare Gardens Boutique Accommodation,,Terrey Hills,4.5,8.5,miramare-gardens,394
Great Escape Lofts,,Gloucester,4.5,9.2,the-great-escape-lofts,370
Bay Motel,Main Beach ,Byron Bay,4,8.7,bay-motel,480
Brigham House,,Tooma,4,9.3,brigham-house,81
Hotel Urban St Leonards,St Leonards,Sydney,4.5,8.3,urban-st-leonards,1053
Perry Street Hotel,,Mudgee,4.5,9.0,de-russie-suites-mudgee,736
PARKROYAL Parramatta,Parramatta,Sydney,4.5,8.5,parkroyal-parramatta,2629
Heritage Inn Bathurst,,Bathurst,4,8.6,bathurst-heritage-motor-inn,992
Boulevarde Motor Inn,,Wagga Wagga,4,8.2,boulevarde-motor-inn,1068
Mercure Sydney Parramatta,Parramatta,Sydney,4,7.5,parramatta,2656
NRMA Sydney Lakeside Holiday Park,,Narrabeen,4.5,7.9,sydney-lakeside-holiday-park,478
Rydges Sydney Harbour,Sydney CBD,Sydney,4,8.1,old-sydney-holiday-inn,3865
Waterfall Springs Retreat & Wildlife Sanctuary,,Kulnura,4,9.6,waterfall-springs-retreat,51
The Grace Hotel,Sydney CBD,Sydney,4,8.6,the-grace,7205
Rydges Mount Panorama Bathurst,,Bathurst,4,8.4,rydges-mount-panorama-bathurst,1864
Oaks Port Stephens Pacific Blue Resort,,Salamander Bay,4,8.0,oaks-pacific-blue-resort,3781
Great Escape Lofts,,Gloucester,4.5,9.2,the-great-escape-lofts,370
Bay Motel,Main Beach ,Byron Bay,4,8.7,bay-motel,480
Brigham House,,Tooma,4,9.3,brigham-house,81
Hotel Urban St Leonards,St Leonards,Sydney,4.5,8.3,urban-st-leonards,1053
Perry Street Hotel,,Mudgee,4.5,9.0,de-russie-suites-mudgee,736
PARKROYAL Parramatta,Parramatta,Sydney,4.5,8.5,parkroyal-parramatta,2629
Heritage Inn Bathurst,,Bathurst,4,8.6,bathurst-heritage-motor-inn,992
Boulevarde Motor Inn,,Wagga Wagga,4,8.2,boulevarde-motor-inn,1068
Adina Apartment Hotel Sydney Airport,Mascot,Sydney,4.5,8.4,adina-apartment-sydney-airport,948
Vibe Hotel Sydney,Sydney CBD,Sydney,4.5,8.3,vibe-sydney,1508
Travelodge Hotel Manly Warringah Sydney,Brookvale,Sydney,4,8.3,travelodge-manly-warringah,1719
ArtHOUSE Beachfront Accommodation,,Emerald Beach,3.5,9.4,arthouse-beachfront-accommodation,86
Veriu Green Square,Green Square,Sydney,4.5,8.8,veriu-green-square,1044
Megaboom City Hotel,Sydney CBD,Sydney,4,8.3,megaboom-city,1569
Rendezvous Hotel Sydney The Rocks,Sydney CBD,Sydney,4,8.0,rendezvous-stafford-at-the-rocks,1768
The Capsule Hotel,Sydney CBD,Sydney,4,7.7,the-capsule,1206
"Adina Apartment Hotel Sydney, Darling Harbour",Sydney CBD,Sydney,4.5,8.4,medina-grand-harbourside,1998
Ingenia Holidays Lake Hume,,Bowna,4,8.7,ingenia-holidays-lake-hume,108
Bayhaven Lodge,,Byron Bay,4,8.7,bayhaven-lodge,460
Ibis Styles The Entrance,,The Entrance,4,8.4,ibis-styles-the-entrance,1184
"Crowne Plaza Hunter Valley, an IHG Hotel",,Lovedale,4,8.0,crowne-plaza-hunter-valley,3410
Alpine Motor Inn,,Katoomba,4,7.9,best-western-alpine-motor-inn,687
"Castlereagh Boutique Hotel, Ascend Hotel Collection",Sydney CBD,Sydney,4,7.9,castlereagh-boutique,989
Rydges Parramatta,Parramatta,Sydney,4.5,8.1,rydges-parramatta,3182
Oaks Sydney Castlereagh Suites,Sydney CBD,Sydney,4,7.6,oaks-on-castlereagh-sydney,2616
YEHS Hotel Sydney QVB,Sydney CBD,Sydney,4,8.4,sydney-qvb,2775
"Crowne Plaza Terrigal Pacific, an IHG Hotel",,Terrigal,4,8.2,crowne-plaza-terrigal,3508
Aabi's at Byron,,Byron Bay,4.5,9.4,aabis-at-byron,445
Oaks Casuarina Santai Resort,,Kingscliff,4,8.5,grand-mercure-casuarina-beach,1570
The Clan Terrigal,,Terrigal,4,7.8,clan-lakeside-lodge,873
Wine Country Motor Inn,,Cessnock,4,8.5,best-western-wine-country-motor-inn,969
Townhouse Hotel,,Wagga Wagga,4,8.5,townhouse-wagga,1347
"Holiday Inn Express Sydney Macquarie Park, an IHG Hotel",North Ryde,Sydney,4,8.6,holiday-inn-express-sydney-macquarie-park,862
Wagga RSL Club Motel,,Wagga Wagga,4.5,9.0,wagga-rsl-club-motel,1092
A by Adina Sydney,Sydney CBD,Sydney,4.5,8.9,a-by-adina-sydney,826
"Holiday Inn Darling Harbour, an IHG Hotel",Sydney CBD,Sydney,4,8.1,holiday-inn-darling-harbour,1859
Beachwalk Suite,,Callala Beach,4,9.3,beachwalk-suite,65
Adina Apartment Hotel Sydney Town Hall,Sydney CBD,Sydney,4.5,8.1,adina-sydney,1116
Mantra Twin Towns,,Tweed Heads,4,8.3,outrigger-twin-towns-resort-coolangatta,3788
Yamba Central,,Yamba,4,8.4,yamba-yha-backpacker-beach-resort,407
Mercure Albury,,Albury,4,8.3,mercure-albury,882
The Boat House,,Anna Bay,3.5,8.5,the-boat-house-boat-harbour,72
Best Western Plus Hotel Stellar,Sydney CBD,Sydney,4,8.5,bestwesternstellar,737
Novotel Sydney Central,Sydney CBD,Sydney,4,8.2,novotel-sydney-central,866
Corrigans Cove,,Batemans Bay,4.5,8.0,corrigans-cove,1365
Beaches Serviced Apartments,,Nelson Bay,4,8.7,beaches-serviced-apartments,840
YEHS Hotel Sydney CBD,Sydney CBD,Sydney,4,8.3,sydney-cbd,2414
Adina Apartment Hotel Sydney Surry Hills,Surry Hills,Sydney,4.5,8.5,adina-crown-street,880
Waves Byron Bay,Main Beach ,Byron Bay,4,8.4,waves-byron-bay,615
Mercure Wagga Wagga,,Wagga Wagga,4,8.1,mercure-wagga-wagga,867
Novotel Sydney Darling Square,Sydney CBD,Sydney,4,8.5,novotel-sydney-darling-square,1604
Vicarage View Cottage,,Kangaroo Valley,3.5,9.2,vicarge-view-cottage,79
Manor Boutique Hotel Sydney,Darlinghurst,Sydney,4.5,7.7,manor-house-boutique-darlinghurst,741
OceanScape Luxury Beachfront Villas,,Scotts Head,3.5,9.1,oceanscape-luxury-beachfront-villas,70
